Nombre,Departamento,Ciudad,Direccion,HoraDeApertura,HoraDeCierre,Facebook,Instagram,Web,Descripcion,Latitud,Longitud,TipoDeLugar,RestriccionDeEdad,EnfoqueDePersonas,Megusta,ComidaVegge,Especialidad,Alcohol,MenuInfantil,Tipo,Telefono
ThePutaMadre Bar,Montevideo,Montevideo,Canelones 1962,19:00:00,03:00:00,,https://www.instagram.com/tpmbar/?hl=es,https://www.tpmbar.com/,Morfi DePutaMadre,3486713,5624214,Espacio cerrado,Mayores,Grupo,123,0,Hamburguesas rellenas,1,0,Bares,92852581
The Shannon,Montevideo,Montevideo,Bartolomeo Mitre 1318,18:00:00,03:00:00,https://www.facebook.com/ClubShannon/?locale=es_LA,https://www.instagram.com/theshannonuy/?hl=es,,Rico como deseo de Shenron,3486713,562421,Ambos,Todas,Grupo,2983,0,Chirizo relleno,1,0,Bares,29025978
Montevideo al Sur,Montevideo,Montevideo,Paraguay 1150,11:00:00,02:00:00,https://www.instagram.com/mvdalsur/?hl=es,https://www.facebook.com/Montevideosur/,https://www.alacarta.com.uy/montevideo-al-sur-cafe-y-bar-con-historia/,Del sur pero no clande,3486713,562421,Espacio cerrado,Mayores,Grupo,3393,0,Sin especialidad,1,0,Bares,11111111
Brecha Bar y Cafe,Montevideo,Montevideo,Aquiles R. Lanza 1201,09:00:00,02:00:00,https://www.facebook.com/brechabarycafe/,https://www.instagram.com/elbar_delxsamigxs/,https://es.foursquare.com/brechabarycafe,O manija o chill vos elegis,3486713,5624214,Espacio cerrado,Mayores,Grupo,277,0,Fernet 70 30,1,0,Bares,29089441
Miscelanea Bar,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3964,19:30:00,01:00:00,https://www.facebook.com/ClandestinoBarElBarDelFernet/?locale=es_LA,,https://nicelocal.uy/montevideo/restaurants/miscelanea_bar/,Un chupe de misa,3486713,5624214,Ambos,Todas,Grupo,1586,0,Vino cacero,1,0,Bares,11111111
Tazu Rock Bar,Montevideo,Montevideo,Canelones 782,18:00:00,04:00:00,https://www.facebook.com/tazu.restobar.1/?locale=es_LA,https://www.instagram.com/tazu_rock_bar/?hl=es,https://tazu-rock-bar.negocio.site/,Veni a rockear,3486713,5624214,Espacio cerrado,Mayores,Grupo,1341,0,Carne cocida,1,0,Bares,22047611
Finisterre Bar,Montevideo,Montevideo,Jose Enrique Roda 1799,18:00:00,02:00:00,https://www.facebook.com/finisterrebaruy/,https://www.instagram.com/finisterrebaruy/?hl=es,https://uy.latinoplaces.com/montevideo/finisterre-bar-116806,Un bar fino y terrestre,3486713,5624214,Espacio cerrado,Mayores,Grupo,1628,0,Chivito,1,0,Bares,11111111
LA GEMA,Montevideo,Montevideo,San Martin 2344 esquina Avenida Millan,19:00:00,01:00:00,https://www.facebook.com/pizzerialagema/,,https://www.lagema.com.uy/en/,Este lugar es una gema,3483761,5621863,Ambos,Todas,Grupo,3693,1,Salsas,0,1,Comida rapida,29031803
Mccarro,Montevideo,Montevideo,1499 Paraguay 1451,09:00:00,01:00:00,https://www.facebook.com/mccarrocomidarapida/,,https://uy.todosnegocios.com/mc-carro-2903-1803,Veni en carro y llevate un MAC,3490329,5619732,Al aire libre,Todas,Grupo,308,1,Mac Combo,0,1,Comida rapida,26231346
McDonald,Montevideo,Montevideo,Pocitos avenida Brasil,07:00:00,02:00:00,https://www.facebook.com/McDonaldsUY/,https://www.instagram.com/mcdonalds_uy/?hl=es-la,https://www.mcdonalds.com.uy/,Que decirte ya nos conocemos,3490335,5614164,Espacio cerrado,Todas,Grupo,1426,1,Mac Triple,0,1,Comida rapida,22088773
Chivitos La Mole,Montevideo,Montevideo,Julio Cesar,11:00:00,01:00:00,https://www.facebook.com/chivitoslamole/,https://www.instagram.com/lamoleuy/?hl=es,https://uy.latinoplaces.com/montevideo/chivitos-la-mole-317488,Como queda un chivito,3490207,5614531,Ambos,Todas,Grupo,1925,1,Chivito al pan,0,1,Comida rapida,24126686
Bar Britanico,Montevideo,Montevideo,Av. Millan 2949,09:00:00,02:00:00,https://www.facebook.com/BritanicoPradoUY/?locale=es_LA,,http://www.britanico.com.uy/,Para que traigas a la reina y no de Inglaterra,3487210,5619427,Espacio cerrado,Mayores,Grupo,1397,1,Te frio,0,1,Comida rapida,92331372
Pancho Va!,Montevideo,Montevideo,Bulevar Espania 2140,12:00:00,00:30:00,https://www.facebook.com/PanchoVaUy/?locale=es_LA,https://www.instagram.com/panchova_uy/?hl=es,https://www.rappi.com.uy/montevideo/restaurantes/delivery/5128-pancho-va,Pancho viene!,3490884,5617422,Espacio cerrado,Mayores,Grupo,5887,1,Pancho al pan,0,1,Comida rapida,92482413
Rudy Burgers,Montevideo,Montevideo,26 de Marzo 3471,12:00:00,00:30:00,https://www.facebook.com/RUDYBurgersUY/?locale=es_LA,https://www.instagram.com/rudy.burgers/?hl=es,https://rudy-burgers.com/,Hamburguesas rudas,3490572,5614221,Espacio cerrado,Todas,Grupo,2392,1,Hamburguesas a la formula 1,0,1,Comida rapida,23096178
Carro de Comidas El Chori,Montevideo,Montevideo,Lord Ponsonby,09:30:00,22:00:00,https://www.facebook.com/macanudocomidaaltoque/?locale=es_LA,,https://uy.latinoplaces.com/montevideo/carro-de-comidas-el-chori-1157918,Comete este,3489804,5616836,Espacio cerrado,Mayores,Grupo,2530,1,Chorizo al pan,0,1,Comida rapida,24020444
World Burger,Montevideo,Montevideo,Molinos de Raffo 633,19:00:00,01:00:00,,https://www.instagram.com/world.bburger/?hl=es,https://app.luveat.com/menu/worldburger,Un mundo dedicado a las hamburguesas,3484602,5621662,Espacio cerrado,Todas,Grupo,305,1,Hamburguesa rellena,0,1,Comida rapida,23374374
Hamburgueseria Magico,Montevideo,Montevideo,Dr. Duvimioso Terra 1861,10:00:00,23:00:00,,,https://nicelocal.uy/montevideo/restaurants/hamburgueseria_magico/,Nuestras burgers son como el amor porque el amor es magico,3489278,5617095,Al aire libre,Todas,Grupo,464,1,Hamburguesas con salsas diversas,0,1,Comida rapida,24877802
Food & Love Prado,Montevideo,Montevideo,Pascual Costa 3879,20:00:00,00:00:00,,https://www.instagram.com/foodandloveuy/?hl=es,https://www.foodandlove.com.uy/,Venis con quien te llena el cora y te llenamos la barriga,3485550,5619911,Espacio cerrado,Mayores,Grupo,2376,1,Carne con papas,0,1,Comida rapida,22042522
McDonalds,Montevideo,Montevideo,Av. 8 de Octubre 3395,08:30:00,23:59:59,https://www.facebook.com/McDonaldsUY/,https://www.instagram.com/mcdonalds_uy/?hl=es-la,https://www.mcdonalds.com.uy/,Sabes que te pinta un MAC,3487929,5615268,Ambos,Todas,Grupo,2368,1,Mac Combo,0,1,Comida rapida,96271480
Cocorico,Montevideo,Montevideo,Jose La Terra 2219,10:00:00,23:00:00,https://www.facebook.com/people/Cocoric%C3%B3/100082330328237/,,https://uy.sluurpy.com/montevideo/restaurante/6226049/cocorico,Todorico,3488641,5620102,Espacio cerrado,Todas,Grupo,4284,1,Carne con salsa de cebolla,0,1,Comida rapida,97432323
El Reloj comidas rapidas y parrilla,Montevideo,Montevideo,Av. Cesar Mayo Gutierrez 2920,10:00:00,01:00:00,,,https://uy.latinoplaces.com/montevideo/el-reloj-comidas-rapidas-y-parrilla-1161533,Tu morfi al toke,3477818,5624235,Al aire libre,Todas,Grupo,179,1,Rapiditas con queso,0,1,Comida rapida,95925030
Fast Food 23,Montevideo,Montevideo,Waterloo 874,12:00:00,00:00:00,https://www.facebook.com/profile.php?id=100070045585236,,https://1122.com.uy/local/fast-food-23/LOC773830001,Usamos una tecnica generada en 2023 para sacar la comida mas rica y mas rapida,3484181,5622570,Espacio cerrado,Todas,Grupo,1584,1,Spaguetti,0,1,Comida rapida,29166410
Burger King,Montevideo,Montevideo,Placido Ellauri 3494,11:00:00,01:00:00,https://www.facebook.com/BurgerKingUy/,,https://www.burgerking.com.uy/,Mandate rey,3490388,5615531,Al aire libre,Todas,Grupo,2939,1,Cerveza armenia,0,1,Comida rapida,99098097
Empanadas Carolina,Montevideo,Montevideo,Piedras 237 Loc 20,10:00:00,16:00:00,https://www.facebook.com/people/Empanadas-Carolina-las-del-Mercado-del-Puerto/100063109247902/,,http://empanadascarolina.com.uy/,Si queres una empanada comete esta,3490601,5622904,Espacio cerrado,Mayores,Grupo,3397,1,Empanadas de carne,0,1,Comida rapida,24835608
Mostaza,Montevideo,Montevideo,Av. 18 de Julio 1377,07:00:00,02:00:00,,,https://www.mostazasocial.com.uy/menues/,Tenemos de todo no solo Mostaza,3490544,5620388,Espacio cerrado,Todas,Grupo,4049,1,Carnes y vegetales con moztaza,0,1,Comida rapida,97313349
Subway,Montevideo,Montevideo,Av. 8 de Octubre 3095,08:00:00,22:00:00,https://www.facebook.com/Subway.uy/?locale=es_LA,https://www.instagram.com/subwayuy/?hl=es,https://www.subway.com/es-UY,Para que vengas de pasada,3488235,5617081,Espacio cerrado,Todas,Grupo,1408,1,Combo ligero,0,1,Comida rapida,24097838
Malafama,Montevideo,Montevideo,Maldonado 1970,20:00:00,02:30:00,,https://www.instagram.com/cerveceria_malafama/?hl=es,https://cervezamalafama.com/,Que decirte por algo nuestra fama,3488234,5619708,Ambos,Mayores,Grupo,890,0,Cerveza amarga,1,0,Cervecerias,27052763
Matute,Montevideo,Montevideo,Dr. Pablo de Marania 1318,18:00:00,02:00:00,https://www.facebook.com/matutecerveceria/,https://www.instagram.com/matutecerveceria/?hl=es,https://matute.uy/,Pa que venga su cita y uste,3484313,5621577,Espacio cerrado,Mayores,Grupo,1758,0,Cerveza jacuna matata,1,0,Cervecerias,99324292
Montevideo Brew House,Montevideo,Montevideo,Libertad 2592,19:00:00,03:00:00,https://www.facebook.com/mbhpocitos/,https://www.instagram.com/montevideobrewhouse/?hl=es,https://es.foursquare.com/v/montevideo-brew-house/526c77d9498e699e2fefd223,Veni bro lugar ameno,3484313,5621577,Espacio cerrado,Mayores,Grupo,1136,0,Picadita y chela,1,0,Cervecerias,11111111
Cerveceria Galatea,Montevideo,Montevideo,Av. Luis Alberto de Herrera 3223,18:00:00,02:00:00,,https://www.instagram.com/cerveceriagalatea/?hl=es,https://nicelocal.uy/montevideo/restaurants/cerveceria_galatea/,Con una de estas salis gateando es fija,3484313,5621577,Espacio cerrado,Mayores,Grupo,3061,0,Cerveza cortada,1,0,Cervecerias,99804038
MBC,Montevideo,Montevideo,Bulevar Espania 2614,18:00:00,02:00:00,https://www.facebook.com/montevideobeercompany/?locale=es_LA,https://www.instagram.com/montevideobeercompany/?hl=es,https://www.montevideobeercompany.com/,Montevideo Beer Company just do it,3484313,5621577,Ambos,Mayores,Grupo,608,0,Sin especialidad,1,0,Cervecerias,93418995
Hey Chopp,Montevideo,Montevideo,Juan Paullier 1436,19:00:00,03:00:00,https://www.facebook.com/heychoppuy/,https://www.instagram.com/hey_chopp/?hl=es,https://heychopp.com/,Hay chupe,3484313,5621577,Ambos,Mayores,Grupo,2408,0,Cerveza dulce,1,0,Cervecerias,98635210
Cerveza Patagonia Refugio WTC,Montevideo,Montevideo,Av. Luis Alberto de Herrera 1193,17:30:00,03:00:00,,,https://nicelocal.uy/montevideo/restaurants/cerveza_patagonia_-_refugio_wtc/,Para refigiarte del trabajo,3484313,5621577,Espacio cerrado,Mayores,Grupo,3655,0,Cerveza congelada,1,0,Cervecerias,11111111
Ramon Cordon,Montevideo,Montevideo,Constituyente 2032,18:30:00,02:00:00,https://www.facebook.com/people/Ramon-Cordon/100066996114998/,,,Mejor que la vieja confiable esta es la fiel la fija la que juega en primera,3484313,5621577,Ambos,Mayores,Grupo,311,0,Cerveza amarga y papas con chedar,1,0,Cervecerias,96025432
Cordon Beer,Montevideo,Montevideo,Dr. Joaquin Requena,19:00:00,02:00:00,https://www.facebook.com/cordonbeer/?locale=es_LA,,https://salimos.uy/listado/cordon-beer/,Como tomarte una birra en el cordon con los pibes,3484313,5621577,Espacio cerrado,Mayores,Grupo,4472,0,Cerveza light,1,0,Cervecerias,92517520
BeerBros,Montevideo,Montevideo,Acevedo Diaz 1392,16:30:00,03:00:00,https://www.facebook.com/beerbrosbaruy/,https://www.instagram.com/beerbros_bar/?hl=es,https://www.beerbros.uy/,Te recomiendo venir con tus bros,3484313,5621577,Ambos,Mayores,Grupo,8006,0,Barril de cerveza,1,0,Cervecerias,24131212
Oso Pardo,Montevideo,Montevideo,Obligado 1317,19:00:00,03:00:00,https://www.facebook.com/OsoPardoBeer/,https://www.instagram.com/osopardo.uy/?hl=es,http://www.osopardo.com.uy/wordpress/,El especial de la casa es Cerveza de Miel,3484313,5621577,Ambos,Mayores,Grupo,3385,0,Cerveza de miel,1,0,Cervecerias,96182775
Varsovia Mvd,Montevideo,Montevideo,Maldonado 1986,20:00:00,03:00:00,,https://www.instagram.com/varsovia.mvd/?hl=es,https://uy.sluurpy.com/montevideo/restaurante/6221936/varsovia-mvd,Beni a este var con tu nobia,3484313,5621577,Espacio cerrado,Mayores,Grupo,147,0,Chela y Wiski,1,0,Cervecerias,98172377
Shelter,Montevideo,Montevideo,Andresito Guacurari 1806,20:00:00,01:30:00,https://www.facebook.com/patioshelter/?locale=es_LA,https://www.instagram.com/shelterpatiocervecero/?hl=es,,El Patio cercecero,3484313,5621577,Ambos,Mayores,Grupo,1813,0,Cerveza de cereza,1,0,Cervecerias,29041841
OsoBar Cordon,Montevideo,Montevideo,Joaquin de Salterain 1316,19:00:00,03:00:00,,,https://mapcarta.com/es/N5560381821,Despues de esto podes ivernar tranquilo,3484313,5621577,Espacio cerrado,Mayores,Grupo,1494,0,Cerveza caliente,1,0,Cervecerias,94086135
Ciudadela bar,Montevideo,Montevideo,Ciudadela 1224,12:00:00,02:00:00,https://www.facebook.com/CiudadelaBarMvd/,https://www.instagram.com/ciudadela_bar/?hl=es,https://salimos.uy/listado/ciudadela/,Un barcito en tu destino favorito,3490897,5636647,Espacio cerrado,Mayores,Grupo,422,0,Chela light,1,0,Cervecerias,92491100
Cerveceria NOF,Montevideo,Montevideo,Av. Lucas Obes 806,17:00:00,02:00:00,,https://www.instagram.com/nofbeer/?hl=es,https://uy.latinoplaces.com/montevideo/cerveceria-artesanal-nof-1174391,Aca viene Estoyanoff te juro,3490897,5636647,Ambos,Mayores,Grupo,1561,0,Patricia y pizza,1,0,Cervecerias,95501203
Pinta Una,Montevideo,Montevideo,Av. Millan 3388,20:00:00,02:00:00,,,https://uy.latinoplaces.com/montevideo/pinta-una-beer-housegarden-1194629,Pinta una birrita si,3490897,5636647,Espacio cerrado,Mayores,Grupo,1975,0,Cerveza artesanal,1,0,Cervecerias,91277199
Maluco,Montevideo,Montevideo,Av. Joaquin Suarez 3449,19:00:00,02:00:00,https://www.facebook.com/cerveceriamalucouy/?locale=es_LA,,https://nicelocal.uy/montevideo/restaurants/maluco/,Pa que salgas mas chulo mi loco,3486544,5647219,Ambos,Mayores,Grupo,3412,0,Cerveza estimulante,1,0,Cervecerias,95904060
La Fabrica,Montevideo,Montevideo,Orinoco 5010,20:00:00,02:00:00,https://www.facebook.com/LAFABRICABARMONTEVIDEO/,https://www.instagram.com/lafabricabarmontevideo/?hl=es,http://www.lafabrica.uy/,Te fabricamos tremenda chela,3486544,5647219,Espacio cerrado,Mayores,Grupo,1826,0,Cerveza personalizada,1,0,Cervecerias,11111111
Si pinta pinta,Montevideo,Montevideo,Pte. Gral. Oscar Gestido 2648,17:00:00,02:00:00,,https://www.instagram.com/sipintapintauy/?hl=es,https://uy.todosnegocios.com/si-pinta-pinta-094-980-999,Y pinto,3486544,5647219,Ambos,Mayores,Grupo,356,0,Cerveza de color,1,0,Cervecerias,11111111
